,Conta,Descrição,31/12/2011,31/12/2010,31/12/2009,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010,01/01/2009 a 31/12/2009
136,2.05.05,Ajustes de Avaliação Patrimonial,6.642,1.447,100,,,
137,2.05.05.01,Ajustes de Títulos e Valores Mobiliários,6.642,1.447,100,,,
138,2.05.05.02,Ajustes Acumulados de Conversão,,,,,,
139,2.05.05.03,Ajustes de Combinação de Negócios,,,,,,
140,2.05.06,Lucros/Prejuízos Acumulados,-3.233,0,0,,,
141,3.01,Receitas da Intermediação Financeira,,,,628.262,450.621,364.809
142,3.01.01,Operações de Crédito,,,,283.461,267.535,264.392
143,3.01.02,Res de Títulos e Valores Mobiliáriarios,,,,255.463,110.805,97.00399999999999
144,3.01.03,Resultado de Câmbio,,,,128.261,61.685,41.722
145,3.01.04,Res com Inst Financeiros Derivativos,,,,-38.923,10.595999999999998,-38.309
146,3.02,Despesas da Intermediação Financeira,,,,-580.2230000000001,-312.91700000000003,-277.87
147,3.02.01,Captação no Mercado,,,,-325.111,-200.36700000000002,-143.548
148,3.02.02,"Empréstimos, Cessões e Repasses",,,,-137.007,-63.542,-23.045
149,3.02.03,Res com Inst Financeiros Derivativos,,,,,,
150,3.02.04,Prov para Créd de Liquidação Duvidosa,,,,-118.105,-49.008,-111.277
151,3.03,Resultado Bruto Intermediação Financeira,,,,48.038999999999994,137.704,86.939
152,3.04,Outras Despesas/Receitas Operacionais,,,,-106.803,-96.245,-83.521
153,3.04.01,Receitas de Prestação de Serviços,,,,6.1979999999999995,5.565,4.471
154,3.04.02,Despesas de Pessoal,,,,-65.98100000000001,-53.123999999999995,-47.655
155,3.04.03,Outras Despesas Administrativas,,,,-37.926,-32.376,-34.869
156,3.04.04,Despesas Tributárias,,,,-11.323,-14.321,-10.068
157,3.04.05,Outras Receitas Operacionais,,,,4.7410000000000005,2.928,5.812
158,3.04.06,Outras Despesas Operacionais,,,,-3.176,-5.075,-5.709
159,3.04.07,Resultado da Equivalência Patrimonial,,,,664.0,158.0,4.497
160,3.05,Resultado Operacional,,,,-58.763999999999996,41.458999999999996,3.418
161,3.06,Resultado Não Operacional,,,,-2.968,577.0,2.577
162,3.06.01,Receitas,,,,0.0,577.0,2.577
163,3.06.02,Despesas,,,,-2.968,0.0,0.0
164,3.07,Resultado Antes Tributação/Participações,,,,-61.732,42.036,5.995
165,3.08,Provisão para IR e Contribuição Social,,,,-1.635,901.0,-16.000999999999998
166,3.08.01,IR,,,,-1.022,511.0,-9.911
167,3.08.02,CSLL,,,,-613.0,390.0,-6.09
168,3.09,IR Diferido,,,,40.019,-5.837999999999999,28.408
169,3.10,Participações/Contribuições Estatutárias,,,,-8.397,-8.09,-5.624
170,3.10.01,Participações,,,,-8.397,-8.09,-5.624
171,3.10.01.01,Empregados,,,,-6.797000000000001,-6.99,-5.55
172,3.10.01.02,Administradores,,,,-1.6,-1.1,-74.0
173,3.10.02,Contribuições,,,,,,
174,3.11,Reversão dos Juros sobre Capital Próprio,,,,,,
175,3.13,Lucro/Prejuízo do Período,,,,-31.745,29.009,12.777999999999999
176,3.99,Lucro por Ação - (R$ / Ação),,,,50906.0,71687.0,30389.0
