,Conta,Descrição,31/12/2012,31/12/2011,31/12/2010,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010
117,2.01.06.01,Empréstimos no País Outras Instituições,48.934,0,290.665,,,
118,2.01.06.02,Empréstimos no Exterior,14.699.544,13.161.053,11.036.790,,,
119,2.01.07,Obrigações por Repasse do País,3.793.910,4.189.752,3.030.168,,,
120,2.01.07.01,Tesouro Nacional,247,21.188,80.638,,,
121,2.01.07.02,BNDES,2.124.206,1.899.635,928.818,,,
122,2.01.07.03,CEF,2.581,33.660,10.335,,,
123,2.01.07.04,FINAME,1.483.052,2.099.952,1.915.308,,,
124,2.01.07.05,Outras Instituições,183.824,135.317,95.069,,,
125,2.01.08,Obrigações por Repasse do Exterior,20.548,914.798,259.104,,,
126,2.01.09,Outras Obrigações,71.966.643,60.881.052,41.258.077,,,
127,2.01.09.01,Instrumentos Financeiros Derivativos,1.763.114,2.138.328,1.228.835,,,
128,2.01.09.02,Cobrança e Arrecadação de Tributos e Assemelhados,81.082,122.575,120.822,,,
129,2.01.09.03,Carteira de Câmbio,36.246.517,32.393.881,18.138.328,,,
130,2.01.09.04,Sociais e Estatutárias,1.427.504,1.509.752,2.457.072,,,
131,2.01.09.05,Fiscais e Previdenciárias,9.093.831,7.306.192,6.100.124,,,
132,2.01.09.06,Negociação e Intermediação de Valores,564.848,694.242,247.484,,,
133,2.01.09.07,Dívidas Subordinadas,3.727.745,0,0,,,
134,2.01.09.08,Diversas,19.062.002,16.716.082,12.965.412,,,
135,2.02,Passivo Exigível a Longo Prazo,128.401.281,128.113.710,110.945.646,,,
136,2.02.01,Depósitos,51.339.151,55.913.362,52.044.649,,,
137,2.02.01.01,Depósitos Interfinanceiros,999.882,7.743.600,8.634.770,,,
138,2.02.01.02,Depósitos a Prazo,50.339.269,48.169.762,43.409.879,,,
139,2.02.02,Captações no Mercado Aberto,27.468.352,21.664.735,15.131.866,,,
140,2.02.02.01,Carteira Própria,27.468.352,21.664.735,15.131.866,,,
141,2.02.03,Recursos de Aceites e Emissão de Títulos,24.306.708,21.087.243,11.142.045,,,
142,2.02.03.01,"Recursos de Letras Imobiliárias, Hipotecárias, de Crédito e Similiares",12.798.608,12.789.632,6.770.877,,,
143,2.02.03.02,Obrigações por Titulos e Valores Mobiliários no Exterior,11.508.100,8.297.611,4.371.168,,,
144,2.02.04,Relações Interfinanceiras,,,,,,
145,2.02.04.01,Relações Interfinanceiras,,,,,,
146,2.02.05,Relações Interdependências,,,,,,
147,2.02.05.01,Relações Interdependências,,,,,,
148,2.02.06,Obrigações por Empréstimos,1.252.900,1.660.631,2.201.219,,,
149,2.02.06.01,Empréstimos no País - Outras Instituições,73.350,0,0,,,
150,2.02.06.02,Empréstimos no Exterior,1.179.550,1.660.631,2.201.219,,,
151,2.02.07,Obrigações por Repasse do País,5.590.711,6.031.862,8.811.543,,,
152,2.02.07.01,Tesouro Nacional,836,0,1.254,,,
153,2.02.07.02,BNDES,3.065.388,3.542.793,5.301.000,,,
154,2.02.07.03,CEF,60.219,1.316,1.528,,,
155,2.02.07.04,FINAME,2.456.539,2.478.974,3.459.206,,,
156,2.02.07.05,Outras Instituições,7.729,8.779,48.555,,,
157,2.02.08,Obrigações por Repasse do Exterior,20.216,161.827,812.754,,,
158,2.02.09,Outras Obrigações,18.423.243,21.594.050,20.801.570,,,
159,2.02.09.01,Instrumentos Financeiros Derivativos,3.347.425,2.544.524,3.522.498,,,
160,2.02.09.02,Carteira de Câmbio,152.049,399.973,86.417,,,
161,2.02.09.03,Fiscais e Previdenciárias,3.306.392,3.010.670,3.004.374,,,
162,2.02.09.04,Negociação e Intermediação de Valores,0,28,22,,,
163,2.02.09.05,Dívidas Subordinadas,8.191.406,10.908.344,9.695.105,,,
164,2.02.09.06,Diversas,3.425.971,4.730.511,4.493.154,,,
165,2.03,Resultados de Exercícios Futuros,222.095,207.291,178.150,,,
166,2.03.01,Resultados de Exercícios Futuros,222.095,207.291,178.150,,,
167,2.05,Patrimônio Líquido,65.904.444,65.613.700,64.876.985,,,
168,2.05.01,Capital Social Realizado,62.828.201,62.828.201,62.828.201,,,
169,2.05.01.01,De Domiciliados no País,6.251.291,6.251.291,6.251.291,,,
170,2.05.01.02,De Domiciliados no Exterior,56.576.910,56.576.910,56.576.910,,,
171,2.05.02,Reservas de Capital,610.215,529.149,529.136,,,
172,2.05.03,Reservas de Reavaliação,,,,,,
173,2.05.03.01,Ativos Próprios,,,,,,
174,2.05.03.02,Controladas/Coligadas e Equiparadas,,,,,,
175,2.05.04,Reservas de Lucro,1.978.713,1.519.129,1.236.150,,,
176,2.05.04.01,Legal,1.300.216,1.140.847,962.310,,,
177,2.05.04.02,Estatutária,,,,,,
178,2.05.04.03,Para Contingências,,,,,,
179,2.05.04.04,De Lucros a Realizar,,,,,,
180,2.05.04.05,Retenção de Lucros,,,,,,
181,2.05.04.06,Especial p/ Dividendos Não Distribuídos,,,,,,
182,2.05.04.07,Outras Reservas de Lucro,678.497,378.282,273.840,,,
183,2.05.04.07.01,Reserva para Equalização de Dividendos,849.059,491.050,273.840,,,
184,2.05.04.07.02,(-) Ações em Tesouraria,-170.562,-112.768,0,,,
185,2.05.05,Ajustes de Avaliação Patrimonial,487.315,737.221,283.498,,,
186,2.05.05.01,Ajustes de Títulos e Valores Mobiliários,487.315,737.221,283.498,,,
187,2.05.05.02,Ajustes Acumulados de Conversão,,,,,,
188,2.05.05.03,Ajustes de Combinação de Negócios,,,,,,
189,2.05.06,Lucros/Prejuízos Acumulados,,,,,,
190,3.01,Receitas da Intermediação Financeira,,,,55.829.354,55.788.210,39.698.085
191,3.01.01,Operações de Crédito,,,,35.018.499,33.820.355,24.037.790
192,3.01.02,Operações de Arrendamento Mercantil,,,,17.744,36.369,23.948
193,3.01.03,Resultado de Operaçãoes com Títulos e Valores Mobiliários,,,,17.967.836,17.729.508,12.387.485
194,3.01.04,Resultado com Instrumentos Financeiros Derivativos,,,,-584.316,-607.075,471.787
195,3.01.05,Resultado de Operações com Câmbio,,,,400.911,778.886,1.012.116
196,3.01.06,Resultado das Aplicações Compulsórias,,,,2.962.432,4.030.167,1.764.959
197,3.01.07,Operações de Venda ou de Transferência de Ativos Financeiros,,,,46.248,0,0
198,3.02,Despesas da Intermediação Financeira,,,,-39.834.816,-41.881.297,-25.711.572
199,3.02.01,Operações de Captação no Mercado,,,,-25.321.870,-29.128.587,-17.563.408
200,3.02.02,Operações de Empréstimos e Repasses,,,,-1.440.627,-2.775.981,-498.607
201,3.02.03,Provisão para Créditos de Liquidação Duvidosa,,,,-13.072.319,-9.976.729,-7.649.557
202,3.03,Resultado Bruto Intermediação Financeira,,,,15.994.538,13.906.913,13.986.513
203,3.04,Outras Despesas/Receitas Operacionais,,,,-13.268.083,-11.752.295,-9.374.896
204,3.04.01,Receitas de Prestação de Serviços,,,,8.866.267,8.003.548,6.887.519
205,3.04.02,Despesas de Pessoal,,,,-5.960.065,-5.233.401,-4.784.514
206,3.04.03,Outras Despesas Administrativas,,,,-11.779.441,-10.456.704,-9.739.410
207,3.04.04,Despesas Tributárias,,,,-2.604.366,-2.376.266,-2.084.281
208,3.04.05,Outras Receitas Operacionais,,,,1.707.267,1.351.777,1.671.698
209,3.04.06,Outras Despesas Operacionais,,,,-5.068.768,-5.420.843,-3.140.035
210,3.04.07,Resultado da Equivalência Patrimonial,,,,1.571.023,2.379.594,1.814.127
211,3.05,Resultado Operacional,,,,2.726.455,2.154.618,4.611.617
212,3.06,Resultado Não Operacional,,,,201.489,852.731,400.899
213,3.06.01,Receitas,,,,,,
214,3.06.02,Despesas,,,,,,
215,3.07,Resultado Antes Tributação/Participações,,,,2.927.944,3.007.349,5.012.516
216,3.08,Provisão para IR e Contribuição Social,,,,-166.412,11.950,-384.436
217,3.08.01,Provisão para Imposto de Renda,,,,-95.878,-135,-207.113
218,3.08.02,Provisão para Contribuição Social,,,,-70.534,12.085,-177.323
219,3.09,IR Diferido,,,,1.333.823,1.719.798,301.784
220,3.10,Participações/Contribuições Estatutárias,,,,-907.977,-1.168.350,-1.073.181
221,3.10.01,Participações,,,,-907.977,-1.168.350,-1.073.181
222,3.10.02,Contribuições,,,,,,
223,3.11,Reversão dos Juros sobre Capital Próprio,,,,,,
224,3.13,Lucro/Prejuízo do Período,,,,3.187.378,3.570.747,3.856.683
225,3.99,Lucro por Ação - (R$ / Ação),,,,000799,000895,000966
