,Conta,Descrição,31/12/2018,31/12/2017,31/12/2016,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016
114,2.01.09.07,Obrigações por Convênios Oficiais,191.446,198.550,137.067,,,
115,2.01.09.08,Obrigações por Aquisição de Bens e Direitos,4.297,2.897,2.666,,,
116,2.01.09.09,Provisão para Pagamentos a Efetuar,38.882,36.244,29.570,,,
117,2.01.09.10,Provisão para Garantias Financeiras Prestadas,2.298,2.198,0,,,
118,2.01.09.11,Obrigações por Operações Vinculadas a Cessão,26.570,63.203,95.798,,,
119,2.01.09.12,Valores a Pagar à Sociedades Ligadas,6,3.675,0,,,
120,2.01.09.13,Dívidas Subordinadas,26.757,26.469,26.077,,,
121,2.01.09.14,Instrumentos de Dívida Elegíveis a Capital,8.142,5.289,2.576,,,
122,2.01.09.15,Instrumentos Financeiros Derivativos,233,78,569,,,
123,2.01.09.16,Credores Diversos - País,160.420,133.665,137.478,,,
124,2.01.09.17,Outras,1.525,1.435,8.654,,,
125,2.02,Passivo Exigível a Longo Prazo,6.186.708,6.262.645,6.551.313,,,
126,2.02.01,Depósitos,5.078.547,5.089.361,5.006.653,,,
127,2.02.01.01,Depósitos Interfinanceiros,19.098,29.194,42.875,,,
128,2.02.01.02,Depósitos a Prazo,5.059.449,5.060.167,4.963.778,,,
129,2.02.02,Captações no Mercado Aberto,,,,,,
130,2.02.03,Recursos de Aceites e Emissão de Títulos,20.458,133.634,459.505,,,
131,2.02.03.01,"Recuros de Letras Imobiliárias, Hipotecárias, de Crédito e Similares",20.458,133.634,387.805,,,
132,2.02.03.02,Obrigações por Títulos e Valores Mobiliários no Exterior,0,0,71.700,,,
133,2.02.04,Relações Interfinanceiras,,,,,,
134,2.02.05,Relações Interdependências,,,,,,
135,2.02.06,Obrigações por Empréstimos,,,,,,
136,2.02.07,Obrigações por Repasse do País,,,,,,
137,2.02.07.01,Tesouro Nacional,,,,,,
138,2.02.08,Obrigações por Repasse do Exterior,,,,,,
139,2.02.09,Outras Obrigações,1.087.703,1.039.650,1.085.155,,,
140,2.02.09.01,Fiscais e Previdenciárias,0,0,620,,,
141,2.02.09.02,Provisão para Pagamentos a Efetuar,3.938,0,0,,,
142,2.02.09.03,Provisão para Outros Passivos,239.446,237.846,221.877,,,
143,2.02.09.04,Provisão para Garantias Financeiras Prestadas,812,486,0,,,
144,2.02.09.05,Obrigações por Operações Vinculadas a Cessão,20.981,57.794,254.674,,,
145,2.02.09.06,Divídas Subordinadas,514.144,513.471,505.900,,,
146,2.02.09.07,Instrumentos de Dívida Elegíveis a Capital,281.900,207.620,88.917,,,
147,2.02.09.08,Instrumentos Financeiros Derivativos,27,478,4.887,,,
148,2.02.09.09,Outras,26.455,21.955,8.280,,,
149,2.03,Resultados de Exercícios Futuros,445,526,653,,,
150,2.03.01,Resultados de Exercícios Futuros,445,526,653,,,
151,2.05,Patrimônio Líquido,800.102,766.290,700.340,,,
152,2.05.01,Capital Social Realizado,492.708,492.708,433.340,,,
153,2.05.01.01,De Domiciliados no País,492.708,433.340,433.340,,,
154,2.05.01.02,Aumento de Capital,0,59.368,0,,,
155,2.05.02,Reservas de Capital,43.375,43.375,42.743,,,
156,2.05.02.01,Reservas de Ágios por Subscrição de Ações,43.375,43.375,42.743,,,
157,2.05.03,Reservas de Reavaliação,134,142,151,,,
158,2.05.03.01,Ativos Próprios,,,,,,
159,2.05.03.02,Controladas/Coligadas e Equiparadas,134,142,151,,,
160,2.05.04,Reservas de Lucro,278.485,240.003,229.026,,,
161,2.05.04.01,Legal,64.841,62.171,60.858,,,
162,2.05.04.02,Estatutária,213.644,177.832,168.168,,,
163,2.05.04.02.01,Para Pagamento de Dividendos,6.469,2.888,1.921,,,
164,2.05.04.02.02,Para Aumento de Capital,207.175,174.944,166.247,,,
165,2.05.04.03,Para Contingências,,,,,,
166,2.05.04.04,De Lucros a Realizar,,,,,,
167,2.05.04.05,Retenção de Lucros,,,,,,
168,2.05.04.06,Especial p/ Dividendos Não Distribuídos,,,,,,
169,2.05.04.07,Outras Reservas de Lucro,,,,,,
170,2.05.05,Ajustes de Avaliação Patrimonial,-14.600,-9.938,-4.920,,,
171,2.05.05.01,Ajustes de Títulos e Valores Mobiliários,-14.600,-9.938,-4.920,,,
172,2.05.05.02,Ajustes Acumulados de Conversão,,,,,,
173,2.05.05.03,Ajustes de Combinação de Negócios,,,,,,
174,2.05.06,Lucros/Prejuízos Acumulados,,,,,,
175,3.01,Receitas da Intermediação Financeira,,,,2.185.770,2.531.797,2.973.629
176,3.01.01,Operações de Crédito,,,,1.887.946,2.059.497,2.437.135
177,3.01.02,Resultado de Operações com Títulos e Valores Mobiliários,,,,153.356,272.835,425.489
178,3.01.03,Resultado com Instrumentos Financeiros Derivativos,,,,49.828,-461,-87.910
179,3.01.04,Resultado de Operações de Câmbio,,,,23.800,8.200,-13.591
180,3.01.05,Resultado das Aplicações Compulsórias,,,,10.502,9.356,10.779
181,3.01.06,Operações de Venda ou de Transferência de Ativos Financeiros,,,,60.338,182.370,201.727
182,3.02,Despesas da Intermediação Financeira,,,,-1.107.718,-1.469.514,-1.923.024
183,3.02.01,Operações de Captação no Mercado,,,,-559.083,-770.150,-1.083.304
184,3.02.02,"Operações de Empréstimos, Cessões e Repasses",,,,-8.413,-654,12.331
185,3.02.03,Operações de Venda ou de Transferência de Ativos Financeiros,,,,-12.710,-33.817,-78.120
186,3.02.04,Provisão para Créditos de Liquidação Duvidosa,,,,-527.512,-664.893,-773.931
187,3.03,Resultado Bruto Intermediação Financeira,,,,1.078.052,1.062.283,1.050.605
188,3.04,Outras Despesas/Receitas Operacionais,,,,-903.822,-954.647,-999.404
189,3.04.01,Receitas de Prestação de Serviços,,,,253.429,248.743,232.939
190,3.04.02,Despesas de Pessoal,,,,-380.961,-390.297,-384.710
191,3.04.03,Outras Despesas Administrativas,,,,-487.562,-494.136,-465.759
192,3.04.04,Despesas Tributárias,,,,-102.628,-108.834,-110.969
193,3.04.05,Outras Receitas Operacionais,,,,52.785,74.396,63.922
194,3.04.05.01,Variações Monetárias Ativas,,,,8.834,13.579,20.439
195,3.04.05.02,Recuperação de Encargos e Despesas,,,,6.448,5.752,7.738
196,3.04.05.03,Reversão de Provisões para Coobrigações - Cessões de Crédito,,,,0,0,268
197,3.04.05.04,Reversão de Provisões,,,,8.112,25.524,7.184
198,3.04.05.05,Juros Sobre o Capital Próprio,,,,6.633,7.867,6.704
199,3.04.05.06,Outras Receitas,,,,22.758,21.674,21.589
200,3.04.06,Outras Despesas Operacionais,,,,-265.804,-304.419,-343.818
201,3.04.06.01,Aprovisionamentos e Ajustes Patrimoniais,,,,-1.631,-3.064,-5.926
202,3.04.06.02,Descontos Concedidos,,,,-60.928,-118.224,-174.284
203,3.04.06.03,Variações Monetárias Passivas,,,,-2.883,-5.851,-20.409
204,3.04.06.04,Despesas de Caráter Eventual,,,,-37.870,-31.244,-28.822
205,3.04.06.05,Outras Despesas,,,,-162.492,-146.036,-114.377
206,3.04.07,Resultado da Equivalência Patrimonial,,,,26.919,19.900,8.991
207,3.05,Resultado Operacional,,,,174.230,107.636,51.201
208,3.06,Resultado Não Operacional,,,,-64.618,-49.743,-23.114
209,3.06.01,Receitas,,,,29.513,15.340,11.986
210,3.06.02,Despesas,,,,-94.131,-65.083,-35.100
211,3.07,Resultado Antes Tributação/Participações,,,,109.612,57.893,28.087
212,3.08,Provisão para IR e Contribuição Social,,,,-47.311,-24.101,-2.582
213,3.08.01,Provisão para Imposto de Renda,,,,-2.492,0,-871
214,3.08.02,Provisão para Contribuição Social,,,,-1.700,0,-672
215,3.08.03,Ativo Fiscal Diferido,,,,-43.119,-24.101,-1.039
216,3.09,IR Diferido,,,,,,
217,3.10,Participações/Contribuições Estatutárias,,,,-8.898,-7.548,-7.186
218,3.10.01,Participações,,,,-8.898,-7.548,-7.186
219,3.10.01.01,Administradores,,,,,,
220,3.10.01.02,Empregados,,,,-8.898,-7.548,-7.186
221,3.10.02,Contribuições,,,,,,
222,3.11,Reversão dos Juros sobre Capital Próprio,,,,,,
223,3.13,Lucro/Prejuízo do Período,,,,53.403,26.244,18.319
224,3.99,Lucro por Ação - (R$ / Ação),,,,101883,056928,039738
