,Conta,Descrição,31/12/2018,31/12/2017,31/12/2016,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016
127,2.01.09.05,Negociação e Intermediação de Valores,804.321,290.701,675.998,,,
128,2.01.09.08,Fundos Financeiros e de Desenvolvimento,0,0,2.381,,,
129,2.01.09.11,Dívidas Subordinadas,6.471.549,10.821.546,11.417.346,,,
130,2.01.09.13,Instrumentos Financeiros Derivativos,14.454.629,13.158.700,12.075.991,,,
131,2.01.09.15,Diversas,15.100.575,14.381.472,16.741.116,,,
132,2.02,Passivo Exigível a Longo Prazo,319.521.682,262.404.103,262.981.893,,,
133,2.02.01,Depósitos,132.707.767,106.620.820,72.799.021,,,
134,2.02.01.03,Depósitos Interfinanceiros,2.642.706,8.805.495,1.219.795,,,
135,2.02.01.04,Depósitos a Prazo,130.065.061,97.815.325,71.579.226,,,
136,2.02.02,Captações no Mercado Aberto,939.212,6.503.654,28.357.746,,,
137,2.02.02.01,Carteira Própria,939.212,6.503.654,28.357.746,,,
138,2.02.03,Recursos de Aceites e Emissão de Títulos,97.630.575,67.389.171,74.426.327,,,
139,2.02.03.03,"Recursos de Letras Imobiliárias, Hipotecárias, de Crédito e Similares",94.151.881,65.069.787,71.881.204,,,
140,2.02.03.05,Obrigações por Títulos e Valores Mobiliários no Exterior,3.326.073,2.128.023,2.512.104,,,
141,2.02.03.06,Certificados de Operações Estruturadas,152.621,191.361,33.019,,,
142,2.02.04,Relações Interfinanceiras,,,,,,
143,2.02.05,Relações Interdependências,,,,,,
144,2.02.06,Obrigações por Empréstimos,1.815.581,1.241.998,2.349.300,,,
145,2.02.06.03,Empréstimos no Exterior,1.815.581,1.241.998,2.349.300,,,
146,2.02.07,Obrigações por Repasse do País,17.537.375,19.710.804,24.797.430,,,
147,2.02.07.03,BNDES,8.315.761,8.753.797,10.914.430,,,
148,2.02.07.05,FINAME,9.221.614,10.957.007,13.883.000,,,
149,2.02.07.06,Outras Instituições,,,,,,
150,2.02.08,Obrigações por Repasse do Exterior,,,,,,
151,2.02.09,Outras Obrigações,68.891.172,60.937.656,60.252.069,,,
152,2.02.09.04,Fiscais e Previdenciárias,1.108.117,1.793.516,940.689,,,
153,2.02.09.11,Dívidas Subordinadas,12.188.392,16.241.102,26.251.948,,,
154,2.02.09.12,Instrumentos de Dívidas Elegíveis a Capital,34.992.913,23.129.838,14.959.571,,,
155,2.02.09.13,Instrumentos Financeiros Derivativos,519.298,426.390,174.543,,,
156,2.02.09.15,Diversas,20.082.452,19.346.810,17.925.318,,,
157,2.03,Resultados de Exercícios Futuros,100.494,102.158,126.500,,,
158,2.05,Patrimônio Líquido,121.120.869,110.457.476,100.442.413,,,
159,2.05.01,Capital Social Realizado,67.100.000,59.100.000,51.100.000,,,
160,2.05.01.01,De Domiciliados no País,66.668.912,58.361.598,50.461.644,,,
161,2.05.01.02,De Domiciliados no Exterior,431.088,738.402,638.356,,,
162,2.05.01.03,Capital a Realizar,,,,,,
163,2.05.02,Reservas de Capital,11.441,11.441,11.441,,,
164,2.05.02.01,Ágio por Subscrição de Ações,11.441,11.441,11.441,,,
165,2.05.03,Reservas de Reavaliação,,,,,,
166,2.05.03.01,Ativos Próprios,,,,,,
167,2.05.03.02,Controladas/Coligadas e Equiparadas,,,,,,
168,2.05.04,Reservas de Lucro,53.247.856,49.461.499,50.008.088,,,
169,2.05.04.01,Legal,7.989.740,7.540.015,6.807.128,,,
170,2.05.04.02,Estatutária,45.698.630,42.361.998,43.641.474,,,
171,2.05.04.03,Para Contingências,,,,,,
172,2.05.04.04,De Lucros a Realizar,,,,,,
173,2.05.04.05,Retenção de Lucros,,,,,,
174,2.05.04.06,Especial p/ Dividendos Não Distribuídos,,,,,,
175,2.05.04.07,Outras Reservas de Lucro,-440.514,-440.514,-440.514,,,
176,2.05.04.07.03,Ações em Tesouraria,-440.514,-440.514,-440.514,,,
177,2.05.05,Ajustes de Avaliação Patrimonial,761.572,1.884.536,-677.116,,,
178,2.05.05.01,Ajustes de Títulos e Valores Mobiliários,,,,,,
179,2.05.05.02,Ajustes Acumulados de Conversão,,,,,,
180,2.05.05.03,Ajustes de Combinação de Negócios,,,,,,
181,2.05.06,Lucros/Prejuízos Acumulados,,,,,,
182,3.01,Receitas da Intermediação Financeira,,,,92.186.270,117.792.441,137.790.083
183,3.01.01,Operações de Crédito,,,,55.287.942,56.932.793,58.625.693
184,3.01.02,Operações de Arrendamento Mercantil,,,,11.464,27.924,49.890
185,3.01.03,Resultado de Operações com Títulos e Valores Mobiliários,,,,36.844.086,51.881.078,61.220.923
186,3.01.04,Resultado com Instrumentos Financeiros Derivativos,,,,-5.493.492,2.080.843,15.806.590
187,3.01.05,Resultado de Operações de Câmbio,,,,1.552.347,2.227.189,-3.135.383
188,3.01.06,Resultado das Aplicações Compulsórias,,,,3.966.507,4.935.462,5.466.722
189,3.01.08,Operações de Venda ou de Transferência de Ativos Financeiros,,,,17.416,-292.848,-244.352
190,3.02,Despesas da Intermediação Financeira,,,,-71.571.752,-92.873.938,-94.348.474
191,3.02.01,Operações de Captações no Mercado,,,,-45.985.128,-69.027.417,-85.404.860
192,3.02.02,Operações de Empréstimos e Repasses,,,,-11.842.904,-4.129.988,9.034.160
193,3.02.03,Operações de Arrendamento Mercantil,,,,-10.608,-26.813,-47.644
194,3.02.04,Provisão para Créditos de Liquidação Duvidosa,,,,-13.733.112,-19.689.720,-17.930.130
195,3.03,Resultado Bruto Intermediação Financeira,,,,20.614.518,24.918.503,43.441.609
196,3.04,Outras Despesas/Receitas Operacionais,,,,-2.757.560,-11.804.275,-21.905.581
197,3.04.01,Receitas de Prestação de Serviços,,,,15.872.718,15.192.552,13.723.792
